timestamp,model,mode,bars,pop,generations,w_rules,w_mlp,seed,out_midi,best_fitness,exit_code
2025-11-09T22:10:10,mlp_easy_1N.pkl,minor,8,60,90,1.000,0.000,42,out\mlp_easy_1N__minor_8bars__pop60_gen90__wr1p0_wm0p0.mid,0.872200,0
2025-11-09T22:16:49,mlp_easy_1N.pkl,minor,8,60,90,0.800,0.200,42,out\mlp_easy_1N__minor_8bars__pop60_gen90__wr0p8_wm0p2.mid,0.899400,0
2025-11-09T22:23:12,mlp_easy_1N.pkl,minor,8,60,90,0.600,0.400,42,out\mlp_easy_1N__minor_8bars__pop60_gen90__wr0p6_wm0p4.mid,0.920900,0
2025-11-09T22:27:54,mlp_easy_1N.pkl,minor,8,60,90,0.400,0.600,42,out\mlp_easy_1N__minor_8bars__pop60_gen90__wr0p4_wm0p6.mid,0.944700,0
2025-11-09T22:30:59,mlp_easy_1N.pkl,minor,8,60,90,0.200,0.800,42,out\mlp_easy_1N__minor_8bars__pop60_gen90__wr0p2_wm0p8.mid,0.971900,0
2025-11-09T22:34:02,mlp_easy_1N.pkl,minor,8,60,90,0.000,1.000,42,out\mlp_easy_1N__minor_8bars__pop60_gen90__wr0p0_wm1p0.mid,1.000000,0
2025-11-09T22:37:16,mlp_easy_1N.pkl,minor,16,100,150,1.000,0.000,42,out\mlp_easy_1N__minor_16bars__pop100_gen150__wr1p0_wm0p0.mid,0.855500,0
2025-11-09T22:52:14,mlp_easy_1N.pkl,minor,16,100,150,0.800,0.200,42,out\mlp_easy_1N__minor_16bars__pop100_gen150__wr0p8_wm0p2.mid,0.880500,0
2025-11-09T23:08:29,mlp_easy_1N.pkl,minor,16,100,150,0.600,0.400,42,out\mlp_easy_1N__minor_16bars__pop100_gen150__wr0p6_wm0p4.mid,0.918200,0
2025-11-09T23:24:46,mlp_easy_1N.pkl,minor,16,100,150,0.400,0.600,42,out\mlp_easy_1N__minor_16bars__pop100_gen150__wr0p4_wm0p6.mid,0.940100,0
