[GEN 0] best = 0.3802
[GEN 5] best = 0.3824 | gen_best = 0.3824 | mean = 0.3231
[GEN 10] best = 0.4182 | gen_best = 0.4182 | mean = 0.3363
[GEN 15] best = 0.4182 | gen_best = 0.4182 | mean = 0.3337
[GEN 20] best = 0.4341 | gen_best = 0.4341 | mean = 0.3472
[GEN 25] best = 0.4505 | gen_best = 0.4505 | mean = 0.3425
[GEN 30] best = 0.5817 | gen_best = 0.5817 | mean = 0.3509
[GEN 35] best = 0.8782 | gen_best = 0.8776 | mean = 0.3802
[GEN 40] best = 0.9211 | gen_best = 0.9211 | mean = 0.4857
[GEN 45] best = 0.9273 | gen_best = 0.9265 | mean = 0.5989
[GEN 50] best = 0.9273 | gen_best = 0.9265 | mean = 0.6098
[GEN 55] best = 0.9322 | gen_best = 0.9321 | mean = 0.6385
[GEN 60] best = 0.9322 | gen_best = 0.9321 | mean = 0.6456
[GEN 65] best = 0.9322 | gen_best = 0.9321 | mean = 0.7014
[GEN 70] best = 0.9322 | gen_best = 0.9321 | mean = 0.7416
[GEN 75] best = 0.9322 | gen_best = 0.9321 | mean = 0.6972
[GEN 80] best = 0.9322 | gen_best = 0.9321 | mean = 0.6821
[GEN 85] best = 0.9349 | gen_best = 0.9349 | mean = 0.6861
[GEN 90] best = 0.9349 | gen_best = 0.9349 | mean = 0.6889
[GEN 95] best = 0.9349 | gen_best = 0.9349 | mean = 0.7066
[GEN 100] best = 0.9349 | gen_best = 0.9349 | mean = 0.6995
[GEN 105] best = 0.9349 | gen_best = 0.9349 | mean = 0.7316
[GEN 110] best = 0.9349 | gen_best = 0.9349 | mean = 0.7185
[GEN 115] best = 0.9349 | gen_best = 0.9349 | mean = 0.7377
[GEN 120] best = 0.9349 | gen_best = 0.9349 | mean = 0.6844
[GEN 125] best = 0.9349 | gen_best = 0.9349 | mean = 0.7093
[GEN 130] best = 0.9356 | gen_best = 0.9356 | mean = 0.7085
[GEN 135] best = 0.9356 | gen_best = 0.9356 | mean = 0.7411
[GEN 140] best = 0.9356 | gen_best = 0.9356 | mean = 0.7037
[GEN 145] best = 0.9360 | gen_best = 0.9360 | mean = 0.7207
[GEN 150] best = 0.9360 | gen_best = 0.9360 | mean = 0.7025
[EA] Best fitness = 0.9360
[EA] Guardado: out\mlp_hard_2N__minor_16bars__pop100_gen150__wr0p4_wm0p6.mid
